,Group,Sample,Mg_pct,Ca_pct,NaK_pct
0,West,PH-07-04,82.95577130528586,10.140237324703344,6.903991370010788
1,West,PH-07-05,71.56160458452722,19.842406876790832,8.595988538681949
2,West,PH-07-33,87.40818467995803,6.610703043022036,5.981112277019937
3,West,PH-08-03,11.91755512992186,2.0823092699628796,86.00013560011526
4,West,PH-08-04,40.75012671059301,11.251900658895083,47.99797263051191
5,West,PH-08-05,81.47295742232451,11.507479861910241,7.019562715765248
6,West,PH-08-06,89.94708994708995,4.656084656084656,5.396825396825397
7,West,PH-08-07,92.28020014295926,3.788420300214439,3.9313795568263044
8,West,PH-08-08,16.127229023422213,3.6223377494549722,80.25043322712281
9,West,ZAM-22-23,72.87154281182016,17.09931344221745,10.029143745962392
10,West,ZAM-22-24,48.534101491477564,16.08339234380502,35.38250616471741
11,West,ZAM-22-25,36.00867456365736,9.435220720833799,54.55610471550884
12,West,ZAM-22-26,77.13851922855548,11.987154752208742,10.87432601923578
13,West,ZAM-22-27,37.00844303137005,7.172237186798347,55.81931978183161
14,West,ZAM-22-28,30.498656522610347,29.676554756667674,39.82478872072198
15,West,ZAM-22-29,21.06898373031975,4.062145312611565,74.8688709570687
16,West,ZAM-22-30,57.804121553538664,18.862484752966584,23.33339369349476
17,West,ZAM-23-20,69.392460123054,16.833425586603795,13.774114290342224
18,West,ZAM-23-21,64.02915793535864,18.445056584993427,17.525785479647936
19,West,ZAM-23-22,55.908075575856834,20.402016918460042,23.68990750568312
20,West,ZAM-23-23,67.91278540125577,14.012172832442225,18.075041766301993
21,West,ZAM-23-24,15.365281037999063,2.8064063472559018,81.82831261474503
22,West,ZAM-23-25,39.29159001925844,29.329756688979806,31.37865329176175
23,West,ZAM-23-26,74.00200364324293,15.134755966937028,10.863240389820037
24,West,ZAM-23-27,56.17955292501876,17.58671692076249,26.23373015421874
25,West,ZAM-24-19,78.76482903602712,15.327942279987683,5.907228683985201
26,West,ZAM-24-20,73.19384100631886,18.680212923726703,8.12594606995444
27,West,ZAM-24-21,66.4659512606928,20.215077090747187,13.318971648560005
28,West,ZAM-24-22,80.90201474134975,13.224834825694735,5.873150432955502
29,West,ZAM-24-23,23.26481806884259,3.10091128920659,73.63427064195082
30,West,ZAM-24-24,46.43536509549692,26.525903283887992,27.038731620615085
31,West,ZAM-24-25,80.78570049215234,10.979866177018698,8.234433330828956
32,West,ZAM-24-26,58.45800031560164,15.962880303882415,25.579119380515937
33,East,PH-07-34,41.351351351351354,33.78378378378378,24.864864864864863
34,East,PH-07-35,55.39473684210526,30.263157894736842,14.342105263157896
35,East,PH-07-36,51.16279069767442,35.27131782945737,13.565891472868216
36,East,PH-07-37,50.0751126690035,34.95242864296445,14.972458688032049
37,East,PH-07-39,51.16136919315404,36.002444987775064,12.836185819070904
38,East,PH-07-40,52.0717377860235,35.93073593073593,11.99752628324057
39,East,PH-08-61,56.54545454545455,29.575757575757574,13.878787878787879
40,East,PH-08-62,46.30738522954092,32.33532934131737,21.357285429141715
41,East,ZAM-22-01,41.04655556173059,34.05265352686543,24.900790911403973
42,East,ZAM-22-02,42.455746058761186,33.909191768219955,23.635062173018856
43,East,ZAM-22-03,55.438609376826,28.83031054102368,15.731080082150315
44,East,ZAM-22-04,53.0918934584176,30.34074475903714,16.56736178254525
45,East,ZAM-22-05,47.22577312642226,35.80522056632627,16.96900630725146
46,East,ZAM-22-06,48.60598678146589,37.007737705865104,14.386275512669014
47,East,ZAM-22-07,40.93543203687705,38.26856148772224,20.796006475400706
48,East,ZAM-22-08,43.85232033790613,39.713820990651456,16.43385867144242
49,East,ZAM-23-01,36.97027538589479,32.78271767091364,30.247006943191565
50,East,ZAM-23-02,39.06297477376891,33.0246659466698,27.912359279561283
51,East,ZAM-23-03,51.016496151966365,30.173870347662213,18.809633500371422
52,East,ZAM-23-04,50.9476893227252,30.402323411501012,18.649987265773785
53,East,ZAM-23-05,45.867529045846865,35.65362997171645,18.47884098243668
54,East,ZAM-23-06,46.5375987248561,37.5183122754668,15.944088999677096
55,East,ZAM-23-07,41.46911824226881,39.66664242822308,18.86423932950811
56,East,ZAM-23-08,46.24700540663769,35.67554267424041,18.077451919121895
57,East,ZAM-24-01,42.529408658015406,32.100646934683795,25.369944407300792
58,East,ZAM-24-02,44.32184091846726,31.413267888122547,24.264891193410204
59,East,ZAM-24-03,57.116499478677795,28.55175678684148,14.331743734480728
60,East,ZAM-24-04,57.958381522646924,28.720585928290944,13.321032549062128
61,East,ZAM-24-05,52.67758349136246,36.501932146455836,10.82048436218169
62,East,ZAM-24-06,53.90417527446615,34.350338192412096,11.745486533121744
63,East,ZAM-24-07,46.49520402048008,39.66708381299899,13.83771216652094
64,East,ZAM-24-08,49.995679764443125,35.47722148994745,14.527098745609416
65,PMB,ZAM-22-09,63.83002027474382,29.457538808467074,6.712440916789093
66,PMB,ZAM-22-10,61.20968277726741,33.669815340371215,5.12050188236138
67,PMB,ZAM-22-11,60.712168526041616,34.12211336398288,5.165718109975498
68,PMB,ZAM-22-12,61.73927331776177,33.84657189636004,4.414154785878186
69,PMB,ZAM-22-13,61.723684188852566,33.95030813156301,4.3260076795844125
70,PMB,ZAM-22-14,,,
71,PMB,ZAM-23-09,59.55951086822336,32.57248267666333,7.86800645511332
72,PMB,ZAM-23-10,59.7565152943548,33.41236309728599,6.831121608359216
73,PMB,ZAM-23-11,60.09558155726909,33.08323459442204,6.821183848308858
74,PMB,ZAM-23-12,66.85372157326994,27.075168398438667,6.07111002829141
75,PMB,ZAM-23-13,55.98254072043046,37.4200663643863,6.597392915183251
76,PMB,ZAM-24-09,74.32127196095198,22.609027694252333,3.0697003447956948
77,PMB,ZAM-24-10,75.06084922404506,21.96331044720125,2.9758403287536854
78,PMB,ZAM-24-11,76.16075610184411,21.125456820273865,2.713787077882025
79,PMB,ZAM-24-12,68.05879656832771,28.33974430857202,3.6014591231002835
80,PMB,ZAM-24-13,67.69080502049863,27.865746338363852,4.443448641137519
81,PMB,,56.62403071990162,39.522478781133685,3.853490498964699
82,PMB,,64.06562706137753,31.80017949482286,4.134193443799616
83,PMB,,61.8645536839605,34.410782762596874,3.724663553442615
84,PMB,,61.79030098473143,33.59229729198858,4.617401723279994
85,PMB,,64.07076420705029,32.05785715731986,3.8713786356298634
86,PMB,,57.80749625187406,37.764603412579426,4.4279003355465125
87,PMB,,57.302078737129605,38.4407376275331,4.257183635337299
88,PMB,,64.15998273624255,32.031437050291714,3.80858021346573
89,PMB,,63.5803129295619,32.80471974780393,3.614967322634165
90,PMB,,83.7876322642457,10.070336933537611,6.142030802216679
91,PMB,,64.38286523372979,31.216761627146628,4.400373139123592
92,PMB,,66.64222239059607,28.936507764697875,4.421269844706043
93,PMB,,69.89911820976711,24.208824136815817,5.892057653417083
94,PMB,,56.58629596902473,37.780179044688204,5.633524986287058
95,PMB,,61.54029598799137,33.60760261631833,4.852101395690293
96,PMB,,68.18375885274536,27.691949942564037,4.124291204690611
97,PMB,,75.88746032426202,20.29901114181045,3.81352853392753
98,PMB,,75.03677089355101,21.348226694458504,3.6150024119904915
99,PMB,,74.60598861563852,22.031998149909864,3.3620132344516223
100,PMB,,,,
101,PMB,,,,
102,PMB,,70.94614867311572,25.097799159668693,3.956052167215583
103,PMB,,70.19577747976331,25.702481839609128,4.1017406806275645
104,PMB,,,,
105,PMB,,,,
106,PMB,,,,
107,PMB,,82.27892569606303,12.207537494713122,5.51353680922384
108,PMB,,,,
109,PMB,,67.63974490011965,28.589428184036578,3.770826915843775
110,PMB,,71.67045371252657,23.59474356224826,4.734802725225164
111,PMB,,56.40610099736629,38.31523656619976,5.278662436433943
112,PMB,,56.017876857734834,38.44382684155177,5.5382963007134
113,PMB,,56.58392051149742,38.569561336393775,4.846518152108799
114,PMB,,56.88345338806522,37.90019370485044,5.216352907084348
115,PMB,,69.08110594545778,26.64837962468512,4.270514429857091
116,PMB,,71.39055033532401,24.510509573144695,4.09894009153129
117,PMB,,68.93182338994615,27.131860683437463,3.9363159266163965
118,PMB,,75.04395827048914,21.313437221069766,3.6426045084411016
119,PMB,,77.29108904374438,18.931497006644886,3.777413949610713
120,PMB,,63.058099073386245,31.900105563592284,5.041795363021465
121,PMB,,70.67772552068506,23.736339545783053,5.585934933531898
122,PMB,,81.76778176778177,14.29030429030429,3.941913941913942
123,PMB,,78.981578893747,17.25923709573463,3.7591840105183794
124,PMB,,76.49061976658238,19.82675341822912,3.6826268151884864
125,PMB,,73.45380906369373,22.865112922256596,3.681078014049699
126,PMB,,73.39549040907245,22.900162746516596,3.7043468444109697
127,PMB,,,,
128,PMB,,76.42772848099897,20.93181731174151,2.640454207259526
129,PMB,,66.4388072858226,29.52857385392409,4.032618860253313
130,PMB,,70.2007284856932,25.478278741998505,4.320992772308292
131,PMB,,60.22066310296551,36.02416634847906,3.755170548555428
132,PMB,,66.36660689431504,29.998831936149266,3.634561169535697
133,PMB,,70.69434644285165,22.85685990517572,6.448793651972618
134,PMB,,68.0169500392362,27.4640857964949,4.5189641642688985
135,PMB,,66.04715381659577,29.435869865645582,4.5169763177586475
136,PMB,,63.702402538082524,31.22163040598787,5.075967055929604
137,PMB,,68.35552545334258,26.186857409697964,5.457617136959451
138,PMB,,62.211262294743676,31.548832855269552,6.239904849986774
139,PMB,,63.13705762584622,30.13217092455035,6.730771449603442
140,PMB,,64.93888651937101,28.25862926201968,6.80248421860931
141,PMB,,69.86818955558368,24.241120450008776,5.890689994407547
142,PMB,,32.92010282915613,62.693637757816894,4.386259413026999
143,PMB,,73.55763048851452,20.81085850404807,5.6315110074374
144,PMB,,36.894888670018425,59.33603640560088,3.7690749243806945
145,PMB,,64.1116925064833,31.03185848194708,4.8564490115696195
146,PMB,,,,
147,PMB,,78.25417976857321,18.111004281756752,3.634815949670047
148,PMB,,75.72746391308394,18.78720981183456,5.4853262750814915
149,SC,ZAM-22-15,12.924069255482232,2.7636515160956825,84.31227922842207
150,SC,ZAM-22-16,78.96623875795247,3.749322313415174,17.28443892863236
151,SC,ZAM-22-17,89.72519565181173,3.1651931590388767,7.109611189149387
152,SC,ZAM-22-18,,,
153,SC,ZAM-22-19,87.0585047359662,3.245948935155635,9.695546328878176
154,SC,ZAM-22-20,85.08045074093887,5.005382059962713,9.914167199098424
155,SC,ZAM-22-21,,,
156,SC,ZAM-22-22,81.98888270981894,8.28464719987454,9.726470090306515
157,SC,ZAM-23-14,88.03671203056,3.021904499867121,8.941383469572873
158,SC,ZAM-23-15,88.4698194533398,2.8280008809082102,8.702179665751997
159,SC,ZAM-23-16,83.65463557426312,3.244631280655707,13.100733145081161
160,SC,ZAM-23-17,85.99020842600713,3.5619201296240925,10.447871444368783
161,SC,ZAM-23-18,83.68714095769727,5.7907287084998815,10.52213033380285
162,SC,ZAM-23-19,24.362206393279646,4.011679837194211,71.62611376952614
163,SC,ZAM-24-15,90.1601684026157,3.208751529290506,6.631080068093811
164,SC,ZAM-24-16,94.09769042664799,2.6098804401898086,3.2924291331622006
165,SC,ZAM-24-17,85.95607011137561,7.8331522460108,6.2107776426135874
166,SC,ZAM-24-18,13.03950688776493,2.6091348481859855,84.35135826404908
