date,bagsit_river,bancal_river,bayaoas_river,bucao_river,bulsa_river_ds,bulsa_river_us,camiling_river_ds,camiling_river_us,dapya_river,dumoloc_river,lawis_river,malabobo_river,maloma_river,mapita_river,masinloc_river,pmb1,pmb2,pmb3,pmb4,sc1,sc2,sc3,sc4,sc5,SC5b,sc6,sc7,salasa_river
1993-12-08,,1123.3972557467525,1043.3043752120902,7880.802689774296,5497.641998335953,9784.581906791058,1364.2399601608727,8085.608448706181,541.1138524851399,614.2448668494371,4742.896326951924,387.3982267183555,141.4046686309157,183.38052032195307,282.1250186358157,16.248575293288695,43.409138459393915,36.28085700148628,47.750599359018565,57.56635958711203,88.98156408768754,56.776868755004664,29.988982878102753,59.74282984835123,,324.33335362906104,122.10652032827737,
1993-12-09,,1072.9219292819325,1043.167126350152,7649.548645520518,5487.489777023386,9747.143542553295,1364.2399601608727,8085.608448706181,509.0750865175643,614.1224102500593,4674.627485232961,387.14717144207685,134.57919539678008,183.35242815061804,269.68465054793245,16.13495137044007,43.14093895234483,36.05918978346781,47.43959630843867,57.52517547624682,88.92103940221565,56.73964994767849,29.969461328004755,59.70715983268783,,324.14629884791276,122.0426860029959,
1993-12-10,,1089.7470381035391,1042.8926286262758,7726.633326938443,5490.873850794241,9759.622997299217,1364.2399601608727,8085.608448706181,519.7546751734228,613.8774970513035,4697.383765805948,386.64506088951964,136.85435314149197,183.29624380794795,273.8314399105602,16.17282601138961,43.23033878802786,36.13307885614062,47.543263991965304,57.44280725451642,88.79999003127186,56.665212333026126,29.930418227808754,59.63581980136106,,323.7721892856163,121.91501735243291,
1993-12-11,,1255.8194512104897,1042.598523922123,9154.31029486109,6810.054547907034,12066.055252658563,1623.4386381364504,9561.148027041467,583.2280095236816,613.6150900526364,4629.114924086985,386.10708529749405,156.748992152466,183.23604629794428,261.391071822677,16.059202088540985,42.96213928097876,35.91141163812215,47.232260941385405,57.3545555883767,88.6702942766892,56.5854577458986,29.888586334741618,59.55938405351094,,323.3713576117272,121.77822951254402,
1993-12-12,,1255.8194512104897,1042.5397029812923,9154.31029486109,6810.054547907034,12066.055252658563,1623.4386381364504,9561.148027041467,583.2280095236816,613.562608652903,4629.114924086985,385.9994901790889,156.748992152466,183.22400679594355,261.391071822677,16.059202088540985,42.96213928097876,35.91141163812215,47.232260941385405,57.33690525514875,88.64435512577268,56.5695068284731,29.880219956128187,59.54409690394091,,323.2911912769494,121.75087194456624,
1993-12-13,,1222.1692335672763,935.8684201498277,9000.140932025239,6803.286400365323,12041.09634316672,1592.3396078646874,9351.167703798305,561.8688322119646,551.0434256606106,4127.2835594639155,347.75227477455894,152.19867666304225,164.50151317418127,229.98713769895681,14.362279724310564,38.43525244604264,32.128353539262896,42.249666421139985,51.67986239820249,79.87880896327158,50.96690384287258,26.920047441628896,53.62504670587769,,291.1128441024715,109.59137553132977,
1993-12-14,,1022.4466028171123,935.8095992089972,7418.294601266739,5477.337555710819,9709.705178315531,1333.1409298891099,7875.62812546302,477.0363205499887,550.9909442608773,4150.039840036903,347.6446796561538,127.7537221626445,164.48947367218054,234.13392706158456,14.400154365260107,38.52465228172567,32.20224261193573,42.353334104666615,51.66221206497455,79.85286981235505,50.950952925447076,26.911681063015465,53.609759556307665,,291.03267776769377,109.56401796335199,
1993-12-15,,875.6928502524436,935.8095992089972,6345.851312542962,4676.353730884748,8290.903351811341,1177.6217231037633,6990.304378461849,409.0494717034297,550.9909442608773,4127.2835594639155,347.6446796561538,109.44649707086683,164.48947367218054,229.98713769895681,14.362279724310564,38.43525244604264,32.128353539262896,42.249666421139985,51.66221206497455,79.85286981235505,50.950952925447076,26.911681063015465,53.609759556307665,,291.03267776769377,109.56401796335199,
1993-12-16,,832.3833023380894,935.8095992089972,6014.065110107677,4410.487147199676,7822.12922789192,1125.781987508648,6695.196462794794,389.9470516398629,550.9909442608773,4127.2835594639155,347.6446796561538,104.10247462184492,164.48947367218054,229.98713769895681,14.362279724310564,38.43525244604264,32.128353539262896,42.249666421139985,51.66221206497455,79.85286981235505,50.950952925447076,26.911681063015465,53.609759556307665,,291.03267776769377,109.56401796335199,
1993-12-17,,572.5260148519649,935.9272410906584,4023.3478954959687,2815.287645089244,5009.484484375384,814.7435739379549,4924.54896879245,275.33253125846164,551.0959070603441,4127.2835594639155,347.8598698929641,72.03833992771334,164.51355267618197,229.98713769895681,14.362279724310564,38.43525244604264,32.128353539262896,42.249666421139985,51.697512731430436,79.90474811418811,50.98285476029809,26.928413820242323,53.64033385544771,,291.1930104372493,109.61873309930755,
