sample_id,date,prec_Ca,prec_Ca_pct05,prec_Ca_pct25,prec_Ca_pct75,prec_Ca_pct95,prec_Mg,prec_Mg_pct05,prec_Mg_pct25,prec_Mg_pct75,prec_Mg_pct95,prec_Na,prec_Na_pct05,prec_Na_pct25,prec_Na_pct75,prec_Na_pct95,prec_Cl,prec_Cl_pct05,prec_Cl_pct25,prec_Cl_pct75,prec_Cl_pct95,bslt_Ca,bslt_Ca_pct05,bslt_Ca_pct25,bslt_Ca_pct75,bslt_Ca_pct95,bslt_Mg,bslt_Mg_pct05,bslt_Mg_pct25,bslt_Mg_pct75,bslt_Mg_pct95,bslt_Na,bslt_Na_pct05,bslt_Na_pct25,bslt_Na_pct75,bslt_Na_pct95,bslt_Cl,bslt_Cl_pct05,bslt_Cl_pct25,bslt_Cl_pct75,bslt_Cl_pct95,carb_Ca,carb_Ca_pct05,carb_Ca_pct25,carb_Ca_pct75,carb_Ca_pct95,carb_Mg,carb_Mg_pct05,carb_Mg_pct25,carb_Mg_pct75,carb_Mg_pct95,carb_Na,carb_Na_pct05,carb_Na_pct25,carb_Na_pct75,carb_Na_pct95,carb_Cl,carb_Cl_pct05,carb_Cl_pct25,carb_Cl_pct75,carb_Cl_pct95,slct_Ca,slct_Ca_pct05,slct_Ca_pct25,slct_Ca_pct75,slct_Ca_pct95,slct_Mg,slct_Mg_pct05,slct_Mg_pct25,slct_Mg_pct75,slct_Mg_pct95,slct_Na,slct_Na_pct05,slct_Na_pct25,slct_Na_pct75,slct_Na_pct95,slct_Cl,slct_Cl_pct05,slct_Cl_pct25,slct_Cl_pct75,slct_Cl_pct95,umfc_Ca,umfc_Ca_pct05,umfc_Ca_pct25,umfc_Ca_pct75,umfc_Ca_pct95,umfc_Mg,umfc_Mg_pct05,umfc_Mg_pct25,umfc_Mg_pct75,umfc_Mg_pct95,umfc_Na,umfc_Na_pct05,umfc_Na_pct25,umfc_Na_pct75,umfc_Na_pct95,umfc_Cl,umfc_Cl_pct05,umfc_Cl_pct25,umfc_Cl_pct75,umfc_Cl_pct95,clay_Ca,clay_Ca_pct05,clay_Ca_pct25,clay_Ca_pct75,clay_Ca_pct95,clay_Mg,clay_Mg_pct05,clay_Mg_pct25,clay_Mg_pct75,clay_Mg_pct95,clay_Na,clay_Na_pct05,clay_Na_pct25,clay_Na_pct75,clay_Na_pct95,clay_Cl,clay_Cl_pct05,clay_Cl_pct25,clay_Cl_pct75,clay_Cl_pct95
lawis_river_schopka,NaN,0.436251941769581,0.276725624441798,0.337040141151076,0.519870588523173,0.596410184742047,0.120957905729059,0.0697406981039677,0.0909711172943121,0.148289521160073,0.177323702649427,0.432246402465907,0.276858624821609,0.353238859255412,0.540270239723967,0.619397080918265,0.671094331764437,0.365029048780868,0.514242958699788,0.835060215544223,0.970687697579408,0.459355811428359,0.346512037855329,0.3869146522402,0.522139737617729,0.572928937956948,0.413686725598047,0.253552602626239,0.336286247740637,0.485178179628805,0.582302304691629,0.128730395776274,0.0149483986163037,0.071918088822005,0.188414727511142,0.228147764799955,0,0,0,0,0,0.938994975235932,0.928005151149267,0.933279361654287,0.945155448854716,0.949811914782646,0.0610050247640681,0.0501880852173535,0.0548445511452842,0.0667206383457127,0.0719948488507333,0,0,0,0,0,0,0,0,0,0,0.304542365550312,0.0466471275749415,0.140669903498353,0.442857602187294,0.572981623850722,0.161284651732077,0.0508703989651665,0.102529728209996,0.222801094160847,0.265322718686005,0.534392827478026,0.248587858353975,0.395262217961728,0.674570117689647,0.82205741603692,0,0,0,0,0,0.110131003845091,0.0140017594357945,0.0540131697850008,0.169982524221162,0.233774529927095,0.884624055652423,0.761246810034571,0.825534864356909,0.941781030910873,0.981464213538741,0.00451474804512444,0.000573635896331114,0.00244613858011186,0.00646908542375921,0.00822102504446947,0,0,0,0,0,0.659429407301829,0.397229695582885,0.529069528311036,0.775050492824074,0.89280962182359,0.20940044017829,0.0246877495633435,0.116037986014604,0.332352940193442,0.490794410732275,0.114660624334777,0.0164066749870478,0.0662552550417322,0.169863526379844,0.243318472341089,0,0,0,0,0
bulsa_river_ds_schopka,NaN,0.439550558111649,0.277153262012843,0.345394931677807,0.531666686848892,0.60019986150118,0.120598340930065,0.0694048644924855,0.0918023961723825,0.155578548209974,0.177035008153585,0.434619062517335,0.256487550521574,0.341605257120921,0.53308666824672,0.609881800280856,0.649530056004272,0.377469933024585,0.497811791680254,0.820081668438437,0.970141579482033,0.470639791494747,0.348833079284038,0.3987802884054,0.523176263879508,0.575355309028453,0.411202113559621,0.255518866189095,0.33286153843769,0.478311089900438,0.577532558715987,0.132665168244784,0.0148524870776502,0.0694623771487525,0.185999331696337,0.221082627963845,0,0,0,0,0,0.939584790053523,0.928039958744118,0.932835249766343,0.945368692877317,0.949735607326044,0.0604152099464771,0.0502643926739562,0.0546313071226831,0.0671647502336574,0.0719600412558823,0,0,0,0,0,0,0,0,0,0,0.296951135018085,0.0536754204138136,0.167652985577252,0.44764853666527,0.572526122412966,0.158649119025949,0.0538143777261619,0.104287193802883,0.216058869116379,0.27127271111178,0.540129411775164,0.274724096077786,0.387213211388781,0.675731462324648,0.814633624890132,0,0,0,0,0,0.127712037770987,0.0136987321749527,0.0688018310341935,0.191830464319776,0.242842963137534,0.868841391955738,0.753417844349631,0.804104972678879,0.927474467894406,0.983090286899768,0.00420860389040295,0.000563635848831741,0.00213639961687673,0.00630512697605061,0.00822203039030321,0,0,0,0,0,0.63106938584757,0.381519942146026,0.497527418494059,0.750957269165373,0.869315937788985,0.222175206214805,0.0335010114253253,0.117575713988551,0.363972089581933,0.506746493489928,0.134765004119413,0.0241131811853062,0.0755564571891177,0.188723148355988,0.251135929745913,0,0,0,0,0
camiling_river_us_schopka,NaN,0.45128262442698,0.286852225521849,0.353419167500328,0.537753323272875,0.606230595016688,0.125239549465083,0.068275279700492,0.0923428239363675,0.156573704825902,0.176656156184214,0.42745355385723,0.256206418651135,0.335762109257312,0.519692228679035,0.604291508450979,0.678287002010721,0.378019767664779,0.509336423526914,0.825847520956996,0.980693456768613,0.471967285443472,0.351909673617924,0.409511826963308,0.52335632039934,0.572488750407588,0.40914198457301,0.264776209420323,0.332668330294878,0.483636142173181,0.580488379479639,0.125647961916795,0.0171864485606027,0.0673193818517561,0.179422158665391,0.22418552459092,0,0,0,0,0,0.938859609692356,0.928109104351473,0.933029609677431,0.94530923942123,0.950436640346779,0.0611403903076436,0.0495633596532209,0.0546907605787696,0.0669703903225692,0.0718908956485272,0,0,0,0,0,0,0,0,0,0,0.297860128196827,0.0569601730635624,0.162857660695069,0.434445015884308,0.57147359508018,0.164273790216649,0.0546048373791922,0.103001638918036,0.228167341873145,0.270655685809476,0.534450329035727,0.247343215178205,0.396028402930283,0.665168882959018,0.828644258179789,0,0,0,0,0,0.121380041770764,0.0217069855868074,0.0676576094287385,0.186669163546127,0.242658815677839,0.87335906399917,0.751690668123314,0.81186620950994,0.927165348173213,0.973831744331355,0.00436734253903029,0.000429376913300135,0.00231116227090364,0.00650877934778388,0.0083163537649537,0,0,0,0,0,0.619946543294982,0.373887705127874,0.470020427343448,0.74539811250425,0.897490708971276,0.244016002459009,0.0208827139212696,0.114718954221026,0.396645454658002,0.523692998062218,0.121828456787796,0.0203237542923545,0.0667490489426616,0.185536196895039,0.247960903680149,0,0,0,0,0
malabobo_river_schopka,NaN,0.434983082640939,0.271189388157472,0.33287164584024,0.535020267388798,0.610025582632036,0.12344878619382,0.0682706318168288,0.094882915765483,0.156916538518864,0.179812817722059,0.438211327642872,0.254888777228054,0.336537510128448,0.534391677318887,0.616284296476246,0.654377366935675,0.37520445007014,0.498807052090746,0.826996554006532,0.961267050174822,0.44779152035913,0.346561476798133,0.387300877119238,0.51879406708737,0.565774308454086,0.429648315025693,0.258882161125561,0.348621236214959,0.502198653182877,0.59052687101737,0.123401001592395,0.0182760645199084,0.0606872142214453,0.176700715039712,0.227094159181498,0,0,0,0,0,0.938522878244791,0.92827945979158,0.932436177824195,0.944557348180542,0.950085953830188,0.0614771217552093,0.0499140461698118,0.0554426518194577,0.0675638221758048,0.0717205402084201,0,0,0,0,0,0,0,0,0,0,0.318843223150189,0.04817697192796,0.171170252937903,0.442692523740601,0.560896636348433,0.160915932209759,0.0521849168708614,0.101126758849317,0.220221932647551,0.271841365484987,0.529801659734409,0.233859753670436,0.391433162026214,0.684583572122183,0.817850857803036,0,0,0,0,0,0.136728790900697,0.0186028854334956,0.0712709305484854,0.194400575098213,0.251616436241566,0.859244584541501,0.743952107335083,0.800345762865687,0.923707930913156,0.976724703122637,0.004520141255941,0.000470495998127469,0.00242407221627905,0.00681096299590566,0.0083449144720185,0,0,0,0,0,0.604988071420054,0.38274245971231,0.468141446880838,0.724793919370684,0.884862396416838,0.253335131776126,0.0280084103918457,0.124175420221033,0.388867458422872,0.528534415496771,0.127433817247991,0.0202099550969275,0.0682904293201218,0.189251364262421,0.248181329757478,0,0,0,0,0
dumoloc_river_schopka,NaN,0.441041992405767,0.282921950983059,0.356719580128567,0.537823091113944,0.601887500452592,0.124787735943845,0.0692797595224836,0.0932969463483225,0.15630237881996,0.17953239900246,0.428651357851768,0.267130060032808,0.34634451869536,0.51956115457133,0.606434411117612,0.683404217639907,0.379229458035837,0.530767340809768,0.853693924205918,0.964331096776666,0.463586549743653,0.346612712469971,0.398428298595342,0.525257468786479,0.575432897736395,0.419666853456262,0.255421507149363,0.331326652186661,0.491399306888629,0.581196392614643,0.123035506323697,0.0192058400251639,0.059887247748668,0.17949376994582,0.228888973144099,0,0,0,0,0,0.939071551857838,0.928218060719315,0.932972589580206,0.944679690289004,0.950249451199473,0.0609284481421623,0.0497505488005273,0.055320309710996,0.0670274104197937,0.0717819392806852,0,0,0,0,0,0,0,0,0,0,0.321630484159765,0.0537277281015391,0.162701226071222,0.47141906382203,0.578199492267764,0.149889118885984,0.0518938021705458,0.092358293932646,0.218220241830949,0.269854387949239,0.52177085701854,0.226143367841904,0.385833773713332,0.673459670867504,0.839098468458344,0,0,0,0,0,0.131856511301196,0.017217210409287,0.0659539617721591,0.196574165575518,0.239803286686499,0.865122344859434,0.755693317581695,0.797488433313189,0.931827753717232,0.979025453854292,0.00438473062313973,0.000710293862923995,0.00230404194991541,0.00670318152248497,0.00830672307550619,0,0,0,0,0,0.635471279520643,0.375785362359788,0.484603758372351,0.743972996418788,0.879996729131703,0.246489697540487,0.0216904926961419,0.107933237670979,0.377386781786018,0.51457211203561,0.117030555632418,0.020489079581821,0.063164191307943,0.183969374353823,0.248775423572211,0,0,0,0,0
malabobo_river_schopka,NaN,0.44707996639393,0.273690949526198,0.35257495882577,0.533330910256767,0.607842947238891,0.122644975004163,0.0691976943279468,0.092696743062772,0.154588597024864,0.17914967795274,0.428894360272816,0.250761674372716,0.348219962357421,0.525943267401967,0.602042773120821,0.691326028689473,0.37828270179619,0.496940399602941,0.834757981999463,0.965319730348142,0.474967451545902,0.345050805393145,0.39726400462212,0.531933713967996,0.57344633149411,0.418972448793784,0.251425118614123,0.339853663071159,0.488410962457917,0.590554482430879,0.117998058920587,0.0239338783373149,0.0639017915806329,0.173498952059316,0.219091726954249,0,0,0,0,0,0.938169310913953,0.927727806191767,0.932568859681564,0.944462661438533,0.950141659552508,0.0618306890860474,0.0498583404474918,0.0555373385614665,0.0674311403184362,0.0722721938082333,0,0,0,0,0,0,0,0,0,0,0.313764233461758,0.0500018666777066,0.162288132128361,0.45590678498245,0.565748148229297,0.162903295592139,0.0515610093647811,0.093036731838954,0.226044306598515,0.27134718718747,0.528019131077677,0.236299301910727,0.380241077005853,0.676802065260086,0.82162103041685,0,0,0,0,0,0.132877530921377,0.0167189366504712,0.0660920612236861,0.190934086808427,0.243170846267474,0.864290461519315,0.752249885499346,0.80445020585913,0.928624129009777,0.979866521349313,0.00430145612710805,0.0003531927809874,0.00225164285440017,0.00641561374839904,0.00818766864692734,0,0,0,0,0,0.607620579642436,0.370973609839153,0.485420674158337,0.743195421532846,0.875103266366392,0.248748787453216,0.0235581101077844,0.124299320422239,0.383977153454683,0.529483800615455,0.118662911607909,0.0184796879678826,0.0585243446493778,0.18523319037903,0.245179012195406,0,0,0,0,0
malabobo_river_schopka,NaN,0.459358711119797,0.280705562497456,0.359769894719098,0.538012607997686,0.604832484063143,0.117760128849312,0.0681655409684727,0.0920288399541811,0.149938980181456,0.177116941350106,0.420497120255935,0.259755991558896,0.34110837487295,0.523393718937694,0.613440079760482,0.665212446335819,0.374565226352447,0.47141474571527,0.838075959969069,0.949004683777753,0.463614382992264,0.343008422615846,0.405925017721508,0.520562024894256,0.571119137985381,0.417399555155801,0.262350171576719,0.346316329440668,0.47932342361977,0.584873899486855,0.127535973087605,0.0192592250560475,0.0604476907634972,0.182869864163664,0.225369215040702,0,0,0,0,0,0.938748394433097,0.927947146828093,0.9330153152988,0.944855346986533,0.949942838505359,0.0612516055669031,0.0500571614946414,0.0551446530134675,0.0669846847011997,0.0720528531719068,0,0,0,0,0,0,0,0,0,0,0.295143593402697,0.0522195054280305,0.166263711627738,0.449077336133025,0.574594965417025,0.162549972743949,0.0526091568866557,0.10357329036674,0.232820730233016,0.2733594398926,0.53988766910595,0.216580865700766,0.386338331594304,0.662103462579003,0.822026450715918,0,0,0,0,0,0.129486976582244,0.020722484440977,0.0659176387284379,0.192741899075422,0.248269218971066,0.866897387944309,0.748582565576086,0.802905615735826,0.928814450866884,0.974623486637613,0.0045535946853153,0.000438223963260907,0.00240977028217966,0.00661972269511048,0.00819495764107352,0,0,0,0,0,0.596569641052529,0.368466666470551,0.475414026478849,0.725076679852605,0.877454441325969,0.259986703923096,0.0395569723995224,0.151028294311053,0.378078036308886,0.527005895659935,0.124117368444816,0.0201634259571196,0.0615988133058232,0.189856060167345,0.247935010667165,0,0,0,0,0
lawis_river_schopka,NaN,0.432833258178326,0.290692999159768,0.353469803150692,0.526459549353679,0.609993825488808,0.123595470371388,0.0667102243638239,0.0907801424198041,0.159737763934681,0.178831958344438,0.439391862269058,0.253834437895922,0.345706835246091,0.522914835367311,0.604126665179276,0.681051038204821,0.391785705052385,0.513159306890568,0.84491829389671,0.971742541190253,0.454916068465026,0.348858937963432,0.393806503544424,0.520842203361517,0.567437213692027,0.428936927871595,0.246445949925689,0.361651374820483,0.490535139275611,0.588541885511704,0.115892971726924,0.0145924833154369,0.0563981823178149,0.183147762575097,0.229583085357272,0,0,0,0,0,0.938987033582881,0.92791919664736,0.932795472996676,0.944781270888886,0.950120130850965,0.0610129664171192,0.0498798691490354,0.0552187291111136,0.0672045270033244,0.0720808033526402,0,0,0,0,0,0,0,0,0,0,0.314393432998537,0.0537791523400681,0.171735475724123,0.45970789066559,0.574725031353096,0.161967354075438,0.0504208092180345,0.100823104444869,0.227111539823596,0.27364056146683,0.521728241872859,0.239796578303591,0.369920596498723,0.66602308272855,0.827649435321265,0,0,0,0,0,0.11864336888047,0.0188279382170907,0.0593825490386993,0.183223611190764,0.246107575157894,0.876295283631639,0.749939003233868,0.810088624305874,0.936216250226784,0.978956266945923,0.00451984060611006,0.000444891841206755,0.00221433001962917,0.00658347591293957,0.00820452433500066,0,0,0,0,0,0.669033709173649,0.411183847494316,0.557097278502053,0.759972172403895,0.894575108107885,0.19953002434628,0.0147357676593732,0.095624618781932,0.319391758768406,0.491996845745566,0.120600963625594,0.017510204154422,0.0565509833546473,0.191711653383734,0.253432469435279,0,0,0,0,0
lawis_river_schopka,NaN,0.446633723294066,0.278265636440025,0.336506980784503,0.536665800975938,0.609474037588759,0.124185977968106,0.0672009262421856,0.0924425018163612,0.154427485519506,0.17761038423601,0.42907299268236,0.250557560415128,0.339983079972773,0.535878859855375,0.60980460117328,0.66926875077395,0.382885381138044,0.506944837428988,0.836352791618423,0.973468203696874,0.458218774517338,0.349681383876794,0.402008631653206,0.511234122469767,0.569990311127288,0.414560245735241,0.261834789425332,0.34616001541147,0.483734908584609,0.579104694946344,0.135288541527325,0.0161197151377714,0.0696205455213181,0.17635362408432,0.222202821695131,0,0,0,0,0,0.93911074116028,0.927699334135157,0.93287774418861,0.944919868845085,0.949857003189509,0.0608892588397196,0.0501429968104907,0.0550801311549153,0.06712225581139,0.072300665864843,0,0,0,0,0,0,0,0,0,0,0.311334162914921,0.05783506501955,0.165304625645357,0.451164795358943,0.573704904082294,0.163552499941381,0.0524101405028976,0.101865802340957,0.224816297133477,0.270102255273258,0.52578682345197,0.227983555670671,0.394924410671061,0.653179325439372,0.84051770880682,0,0,0,0,0,0.0937074929354804,0.00970014063105062,0.0470699442565172,0.157622449136635,0.245005252567828,0.901490077303808,0.750941278810271,0.839182407405151,0.949601674720883,0.984648355323621,0.00436621110799544,0.00039901181794168,0.0021171943495323,0.00652980065318856,0.0083163495617308,0,0,0,0,0,0.671900783022809,0.392406214514333,0.53734675939139,0.77088241775593,0.90395621963277,0.197024795888808,0.0234584952454591,0.0867028640973537,0.331163034564055,0.50995130236028,0.121217446304046,0.0227875120109386,0.0621447584586645,0.184074722440225,0.25263542594436,0,0,0,0,0
bulsa_river_ds_zam22,NaN,0.432538632010784,0.275968304223926,0.342330884587387,0.520220485310515,0.605872498217312,0.123121597800131,0.0703787062857368,0.0939086102119389,0.155338242152143,0.179191889168571,0.444987116567309,0.263593069169074,0.35387465234694,0.531249231154397,0.617834169444454,0.649553281709605,0.381629882474474,0.496183967307517,0.833086647156653,0.973187212767953,0.461271054999371,0.347858493789212,0.396490359866812,0.514485190645697,0.569366205891423,0.413343720240297,0.248145611714519,0.335889295588926,0.491815340750542,0.576105536250498,0.134015408966643,0.0230883724575196,0.0771265867187781,0.1792835145883,0.227965169407595,0,0,0,0,0,0.938918035199054,0.928128151374744,0.933754816929548,0.94515572237751,0.950055916541319,0.061081964800946,0.049944083458681,0.0548442776224898,0.0662451830704517,0.0718718486252561,0,0,0,0,0,0,0,0,0,0,0.312273029515684,0.0512673257088737,0.161211102830534,0.453985859928599,0.57003647137977,0.163284545963817,0.0542581950866056,0.104558519493958,0.209888934431263,0.263253642919886,0.529736093704203,0.263012897724837,0.380126340722389,0.672473758327923,0.805582046117557,0,0,0,0,0,0.130073512621125,0.0188034872347919,0.060339359592589,0.197377889963526,0.248805700437183,0.866474894704416,0.747579534268971,0.799601670482916,0.935641987280209,0.977120453291714,0.00444237740117535,0.000328190914703977,0.00205981383929028,0.00616712559168874,0.0081705348846525,0,0,0,0,0,0.609611650871709,0.379221608480783,0.485837262059483,0.726405220124428,0.884439751753642,0.259938697658805,0.0229094632089616,0.135274849441428,0.368866754333992,0.530304800548443,0.116192056074674,0.0191798268254394,0.0626908470862514,0.195453269479315,0.247692002384428,0,0,0,0,0
