sample_id,date,prec_Ca,prec_Ca_pct05,prec_Ca_pct25,prec_Ca_pct75,prec_Ca_pct95,prec_Mg,prec_Mg_pct05,prec_Mg_pct25,prec_Mg_pct75,prec_Mg_pct95,prec_Na,prec_Na_pct05,prec_Na_pct25,prec_Na_pct75,prec_Na_pct95,prec_Cl,prec_Cl_pct05,prec_Cl_pct25,prec_Cl_pct75,prec_Cl_pct95,bslt_Ca,bslt_Ca_pct05,bslt_Ca_pct25,bslt_Ca_pct75,bslt_Ca_pct95,bslt_Mg,bslt_Mg_pct05,bslt_Mg_pct25,bslt_Mg_pct75,bslt_Mg_pct95,bslt_Na,bslt_Na_pct05,bslt_Na_pct25,bslt_Na_pct75,bslt_Na_pct95,bslt_Cl,bslt_Cl_pct05,bslt_Cl_pct25,bslt_Cl_pct75,bslt_Cl_pct95,carb_Ca,carb_Ca_pct05,carb_Ca_pct25,carb_Ca_pct75,carb_Ca_pct95,carb_Mg,carb_Mg_pct05,carb_Mg_pct25,carb_Mg_pct75,carb_Mg_pct95,carb_Na,carb_Na_pct05,carb_Na_pct25,carb_Na_pct75,carb_Na_pct95,carb_Cl,carb_Cl_pct05,carb_Cl_pct25,carb_Cl_pct75,carb_Cl_pct95,flsc_Ca,flsc_Ca_pct05,flsc_Ca_pct25,flsc_Ca_pct75,flsc_Ca_pct95,flsc_Mg,flsc_Mg_pct05,flsc_Mg_pct25,flsc_Mg_pct75,flsc_Mg_pct95,flsc_Na,flsc_Na_pct05,flsc_Na_pct25,flsc_Na_pct75,flsc_Na_pct95,flsc_Cl,flsc_Cl_pct05,flsc_Cl_pct25,flsc_Cl_pct75,flsc_Cl_pct95,umfc_Ca,umfc_Ca_pct05,umfc_Ca_pct25,umfc_Ca_pct75,umfc_Ca_pct95,umfc_Mg,umfc_Mg_pct05,umfc_Mg_pct25,umfc_Mg_pct75,umfc_Mg_pct95,umfc_Na,umfc_Na_pct05,umfc_Na_pct25,umfc_Na_pct75,umfc_Na_pct95,umfc_Cl,umfc_Cl_pct05,umfc_Cl_pct25,umfc_Cl_pct75,umfc_Cl_pct95
dumoloc_river_zam24,NaN,0.442863468,0.282751955,0.358454301,0.53273599,0.603380387,0.123880576,0.068758491,0.0915718,0.153637308,0.179740961,0.428477847,0.263110837,0.350697564,0.517442495,0.606317366,0.660694336,0.38282951,0.491342594,0.844476107,0.972552976,0.455144429,0.347931684,0.393736353,0.521277563,0.574757479,0.416847757,0.255965969,0.343294057,0.488640816,0.583481378,0.129159375,0.019278936,0.073386212,0.178926911,0.223286758,0,0,0,0,0,0.938439049,0.928018908,0.932751769,0.944696622,0.949570965,0.061560951,0.050429035,0.055303378,0.067248231,0.071981092,0,0,0,0,0,0,0,0,0,0,0.325179958,0.047210381,0.160113636,0.460642202,0.570508746,0.152534305,0.048842426,0.094245623,0.22603022,0.272206009,0.527648262,0.245586344,0.380922668,0.672789991,0.825811588,0,0,0,0,0,0.124780936,0.015722713,0.057198068,0.191796981,0.248273355,0.870332695,0.747202908,0.802818867,0.939271029,0.98083967,0.004525649,0.000585809,0.002371596,0.006633008,0.008330823,0,0,0,0,0
pmb4_zam24,NaN,0.442669469,0.282201862,0.358458017,0.530581222,0.601586578,0.12216393,0.072070014,0.093496755,0.152859866,0.179011917,0.431545024,0.265538457,0.343696102,0.525314932,0.596941662,0.684688972,0.384012612,0.512447115,0.831989864,0.97138397,0.451468085,0.343501599,0.390359102,0.520582747,0.575156963,0.424580748,0.251275059,0.362010436,0.501336542,0.584531655,0.111986169,0.018865263,0.058292817,0.17533819,0.226020491,0,0,0,0,0,0.939000502,0.927996548,0.93302732,0.945092221,0.95004286,0.060999498,0.04995714,0.054907779,0.06697268,0.072003452,0,0,0,0,0,0,0,0,0,0,0.289846756,0.047000369,0.170304472,0.431043636,0.562875281,0.160842489,0.055580179,0.103436862,0.223119249,0.273683131,0.534701455,0.232409954,0.413203788,0.669633895,0.827524345,0,0,0,0,0,0.130148963,0.01100342,0.070032732,0.190014096,0.242563268,0.866203761,0.751780777,0.806312335,0.927690774,0.984111557,0.004476014,0.000515555,0.002395779,0.006430014,0.008281622,0,0,0,0,0
pmb34_zam24,NaN,0.452515057,0.279485182,0.358845166,0.534531155,0.602653313,0.128792378,0.068439546,0.096035613,0.157693111,0.179263359,0.418445344,0.254007925,0.33967984,0.515273974,0.60835247,0.716718547,0.389255495,0.547235959,0.861610393,0.964714941,0.452980661,0.347036889,0.392466539,0.521143985,0.570153302,0.417763388,0.260524201,0.343116143,0.491498463,0.588004964,0.129329662,0.016252241,0.067399571,0.18589461,0.226995672,0,0,0,0,0,0.94005639,0.928093533,0.93265469,0.945098092,0.949973666,0.05994361,0.050026334,0.054901908,0.06734531,0.071906467,0,0,0,0,0,0,0,0,0,0,0.295548382,0.056251894,0.165604795,0.425383072,0.568227425,0.162833354,0.050629208,0.112559574,0.217125963,0.267941674,0.539918694,0.254247292,0.405699661,0.67868514,0.800194552,0,0,0,0,0,0.140564903,0.015679027,0.065607398,0.196846593,0.24564692,0.856369554,0.748923808,0.800328265,0.931027183,0.980296044,0.004171676,0.00031355,0.001938237,0.006265005,0.00846343,0,0,0,0,0
pmb3_zam24,NaN,0.472698015,0.282100075,0.363978026,0.546226972,0.612326082,0.12619796,0.070316794,0.094497246,0.157317291,0.18037859,0.411682998,0.240002847,0.335964391,0.504428583,0.614744663,0.768055438,0.438346634,0.617988751,0.876537138,0.974463911,0.462871444,0.346367426,0.399828585,0.519779921,0.572084888,0.420564243,0.256106801,0.339341102,0.484581656,0.568964783,0.128137572,0.02442936,0.071608536,0.183273992,0.223710426,0,0,0,0,0,0.938579121,0.928242566,0.932567694,0.945352244,0.949806245,0.061420879,0.050193755,0.054647756,0.067432306,0.071757434,0,0,0,0,0,0,0,0,0,0,0.319216864,0.04940374,0.150669146,0.474179843,0.576853228,0.157973033,0.05410299,0.095021612,0.217325594,0.263285229,0.531605445,0.246717288,0.366642013,0.681225034,0.8167239,0,0,0,0,0,0.121841927,0.019396165,0.072802587,0.18819744,0.241264863,0.874073201,0.754798147,0.806881027,0.925470172,0.978092221,0.004334068,0.000447237,0.002453341,0.006355502,0.008219228,0,0,0,0,0
pmb2_zam24,NaN,0.445862283,0.276587229,0.355767714,0.53332816,0.599965306,0.123862732,0.067933896,0.097500495,0.150764255,0.175734834,0.433740008,0.268689206,0.348757929,0.52050672,0.617725332,0.663652067,0.371413794,0.50184251,0.813599746,0.964867649,0.460663335,0.342330351,0.386811736,0.524796448,0.574129668,0.419450689,0.259412036,0.347323283,0.485202183,0.590824169,0.121422637,0.017793804,0.070397644,0.17761371,0.221454126,0,0,0,0,0,0.938790328,0.928207596,0.933137805,0.944533127,0.9500927,0.061209672,0.0499073,0.055466873,0.066862195,0.071792404,0,0,0,0,0,0,0,0,0,0,0.313637704,0.056627287,0.163072724,0.4665272,0.570614601,0.159325379,0.056418712,0.103074953,0.230238459,0.268926714,0.520917333,0.233399601,0.383747444,0.661794004,0.810118268,0,0,0,0,0,0.132937722,0.014321504,0.065477751,0.202542015,0.248500305,0.863808056,0.748699955,0.793311381,0.93135081,0.98066053,0.004331149,0.000372102,0.002080777,0.006518989,0.008415982,0,0,0,0,0
pmb1_zam24,NaN,0.44518891,0.282134495,0.352061282,0.53288718,0.603408886,0.127527477,0.069499059,0.095423356,0.155721826,0.178065077,0.434687715,0.256228903,0.347299723,0.519421663,0.606193894,0.688581353,0.391043908,0.52936355,0.845099412,0.975232263,0.462437247,0.344426549,0.400197654,0.520382262,0.569023801,0.419724726,0.262585301,0.349734856,0.478224935,0.579737506,0.132113659,0.021571128,0.071505846,0.178153624,0.224198999,0,0,0,0,0,0.939087318,0.928121759,0.933283291,0.944688824,0.949480601,0.060912682,0.050519399,0.055311176,0.066716709,0.071878241,0,0,0,0,0,0,0,0,0,0,0.32801531,0.046370888,0.169650658,0.451370138,0.573581456,0.155253246,0.054321234,0.10709533,0.211200599,0.268215366,0.527342087,0.222199318,0.365455673,0.685790379,0.822648365,0,0,0,0,0,0.132519727,0.016622609,0.067619497,0.189186957,0.245057204,0.863129108,0.751239142,0.805514565,0.928125347,0.980253262,0.004699462,0.00050077,0.001890377,0.006463366,0.008260586,0,0,0,0,0
sc6_zam24,NaN,0.316469533,0.265079043,0.28565904,0.372152384,0.48364515,0.118856084,0.069626657,0.091614723,0.146389321,0.175417239,0.554190838,0.391292312,0.510330411,0.593645089,0.641549088,0.767591404,0.50426088,0.623571252,0.894379708,0.98156739,0.450158608,0.345252301,0.393273835,0.516979948,0.568637516,0.426738325,0.250200838,0.360240279,0.506076543,0.585605065,0.114392467,0.016002092,0.054047618,0.183641123,0.22831594,0,0,0,0,0,0.939408495,0.927719948,0.933008699,0.945352576,0.950077261,0.060591505,0.049922739,0.054647424,0.066991301,0.072280052,0,0,0,0,0,0,0,0,0,0,0.200284605,0.041774965,0.089208337,0.328684982,0.527813172,0.155259042,0.051746235,0.091820849,0.216339102,0.265978659,0.647364052,0.316065512,0.506959704,0.750389301,0.855222727,0,0,0,0,0,0.008013871,0.003183299,0.005511798,0.01184008,0.019628474,0.987288337,0.975820705,0.983093449,0.99064652,0.9943476,0.004682091,0.000375215,0.002149536,0.006688817,0.00831592,0,0,0,0,0
sc7_zam24,NaN,0.373360791,0.272895038,0.312022019,0.444193766,0.545554034,0.123412208,0.06805059,0.094522867,0.151940901,0.179606941,0.506405341,0.317603238,0.433254948,0.562545726,0.623910825,0.769220544,0.529686402,0.670093641,0.884545107,0.976764417,0.461759835,0.349159716,0.397687131,0.527171868,0.575646802,0.41642965,0.245448031,0.342525515,0.481275806,0.588772468,0.117282445,0.019558064,0.06226718,0.183878576,0.22167404,0,0,0,0,0,0.939385233,0.927847099,0.933315656,0.945418032,0.95010043,0.060614767,0.04989957,0.054581968,0.066684344,0.072152901,0,0,0,0,0,0,0,0,0,0,0.270022133,0.048801157,0.150047114,0.428736937,0.556990903,0.152641557,0.055461259,0.098312572,0.215005801,0.264999365,0.576763279,0.236168065,0.417320274,0.691768494,0.840620758,0,0,0,0,0,0.009370308,0.003341115,0.005303747,0.013606763,0.020436138,0.98589166,0.973595167,0.981304612,0.989828761,0.994591201,0.004761383,0.000444085,0.002355342,0.006907197,0.008420475,0,0,0,0,0
sc4_zam24,NaN,0.422183972,0.279024686,0.34494053,0.516550337,0.604785789,0.121283728,0.069793188,0.090005595,0.152725524,0.179508625,0.446619377,0.264325378,0.358194405,0.539221366,0.610408076,0.691009596,0.406396238,0.54218348,0.867100232,0.980445371,0.446207456,0.343862207,0.386292883,0.512698137,0.565519057,0.426003016,0.266402427,0.35857961,0.50267166,0.603832855,0.123662401,0.014008996,0.067167874,0.174654983,0.222155275,0,0,0,0,0,0.938936547,0.928049554,0.933018987,0.94571551,0.950346649,0.061063453,0.049653351,0.05428449,0.066981013,0.071950446,0,0,0,0,0,0,0,0,0,0,0.282039849,0.056081054,0.162495662,0.431858651,0.552516715,0.157041916,0.050861141,0.097669083,0.225043983,0.272164304,0.551601644,0.246741269,0.404157248,0.676040967,0.81816844,0,0,0,0,0,0.03437521,0.006036356,0.019225539,0.053027312,0.074929989,0.960970912,0.919765069,0.941436938,0.976306276,0.990002044,0.0043809,0.000368434,0.002140367,0.006340903,0.008269453,0,0,0,0,0
sc1_zam24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
