sample_id,Ca,Mg,Na,Cl,F_Ca_prec,F_Ca_prec_pct25,F_Ca_prec_pct75,F_Mg_prec,F_Mg_prec_pct25,F_Mg_prec_pct75,F_Na_prec,F_Na_prec_pct25,F_Na_prec_pct75,F_Cl_prec,F_Cl_prec_pct25,F_Cl_prec_pct75,F_Ca_bslt,F_Ca_bslt_pct25,F_Ca_bslt_pct75,F_Mg_bslt,F_Mg_bslt_pct25,F_Mg_bslt_pct75,F_Na_bslt,F_Na_bslt_pct25,F_Na_bslt_pct75,F_Cl_bslt,F_Cl_bslt_pct25,F_Cl_bslt_pct75,F_Ca_carb,F_Ca_carb_pct25,F_Ca_carb_pct75,F_Mg_carb,F_Mg_carb_pct25,F_Mg_carb_pct75,F_Na_carb,F_Na_carb_pct25,F_Na_carb_pct75,F_Cl_carb,F_Cl_carb_pct25,F_Cl_carb_pct75,F_Ca_slct,F_Ca_slct_pct25,F_Ca_slct_pct75,F_Mg_slct,F_Mg_slct_pct25,F_Mg_slct_pct75,F_Na_slct,F_Na_slct_pct25,F_Na_slct_pct75,F_Cl_slct,F_Cl_slct_pct25,F_Cl_slct_pct75,F_Ca_umfc,F_Ca_umfc_pct25,F_Ca_umfc_pct75,F_Mg_umfc,F_Mg_umfc_pct25,F_Mg_umfc_pct75,F_Na_umfc,F_Na_umfc_pct25,F_Na_umfc_pct75,F_Cl_umfc,F_Cl_umfc_pct25,F_Cl_umfc_pct75,F_Ca_clay,F_Ca_clay_pct25,F_Ca_clay_pct75,F_Mg_clay,F_Mg_clay_pct25,F_Mg_clay_pct75,F_Na_clay,F_Na_clay_pct25,F_Na_clay_pct75,F_Cl_clay,F_Cl_clay_pct25,F_Cl_clay_pct75,F_norm_prec,F_norm_25_prec,F_norm_75_prec,F_norm_bslt,F_norm_25_bslt,F_norm_75_bslt,F_norm_carb,F_norm_25_carb,F_norm_75_carb,F_norm_slct,F_norm_25_slct,F_norm_75_slct,F_norm_umfc,F_norm_25_umfc,F_norm_75_umfc,F_norm_clay,F_norm_25_clay,F_norm_75_clay
lawis_river_schopka,63,833,55,39,0.391073702113368,0.312673023449519,0.536014698422108,0.00862448733650902,0.00611708063460525,0.0115462644814377,0.466020674869871,0.365625558600528,0.626591965849483,0.999999870860173,0.999999784018465,0.999999938101143,2.72710313888524,1.5271684259412,3.56637037496179,0.188526846528573,0.0960497716616184,0.272577213595042,0.669515302143839,0.286966596581972,1.10155528094719,0,0,0,1.97031754602716,0.227005541825223,3.94472885027956,0.00947279076607532,0.00119638723776443,0.0185181983094465,0,0,0,0,0,0,0.296777070398605,0.0882277498076914,0.876894403432746,0.0161181053923155,0.00504585607546174,0.0349547167337489,0.882620857844677,0.376504760244947,1.72095145294875,0,0,0,1.51942774768299,0.679853071121064,2.35882792179499,0.912272524692126,0.839060384521991,1.00106995656831,0.0693090665504002,0.0339542827610573,0.101967211599158,0,0,0,-7.32011889519793,-8.91861078759966,-4.64780685197858,-0.13934465168527,-0.207331044546845,-0.0874979147458298,-1.36758148159507,-2.2801957783979,-0.51973131181648,0,-0,-0,0.0611050034724623,0.0491097455286207,0.0797472652192678,0.411662737619178,0.234365860533996,0.521635609091028,0.139519556216749,0.0161178481397961,0.27946732272401,0.0982959344626687,0.0377411747739349,0.192485945380266,0.934879200289368,0.844611547737462,0.991356032140967,-0.733059324018091,-0.80841577111827,-0.549563921444534
bulsa_river_ds_schopka,500,612,358,41,0.0551098338535291,0.0423594534941759,0.0699501115526104,0.0124128682094092,0.00938731444734859,0.0171051225803312,0.0765364795267236,0.0549025755135228,0.103184852308859,0.999999901914004,0.999999853791506,0.999999941792946,0.494180249047942,0.392820105897469,0.583495758018374,0.34628732738487,0.27818690541478,0.417333194686087,0.194567630928089,0.0835138134221856,0.290022121613235,0,0,0,0.827908310702191,0.495580995491608,1.20632227432518,0.0438797857398911,0.0257753529822224,0.0624566948044051,0,0,0,0,0,0,0.39348791109629,0.167617865798884,0.813357600655967,0.168431153181466,0.0987266139325825,0.275532752688637,1.01456424463275,0.860894973279038,1.16007923322148,0,0,0,0.122267870876408,0.0538810444070802,0.206627299906734,0.690589070041587,0.534528122155038,0.895306917405778,0.00517262382203033,0.00265021975442015,0.00878559180492913,0,0,0,-1.07010770704678,-1.2295496407475,-0.811555042333596,-0.294291648640578,-0.492537485005627,-0.145997858149604,-0.298016434483255,-0.42607010284108,-0.169888569565063,0,-0,-0,0.0429405151159243,0.0340103792036974,0.0560275926185982,0.36850707283777,0.328293481057439,0.395546741688579,0.299283457746983,0.179598349925474,0.438727439180843,0.459208520972489,0.349878684864683,0.625730971565457,0.336369167573424,0.25441770914872,0.435655434951172,-0.572410299432532,-0.61139587561983,-0.510106974662105
camiling_river_us_schopka,460,842,213,33,0.0471527801531281,0.0362984398809712,0.0651866792013372,0.00738823652829753,0.00550192528843172,0.00977838548664816,0.099704264471753,0.0733417025090953,0.132220487898053,0.99999986259508,0.999999806872534,0.999999912260465,0.559000480058389,0.469469728423947,0.638900376747859,0.273137007859166,0.200485629434167,0.338753487382144,0.340201442490045,0.160447000205456,0.44433002058755,0,0,0,0.903827637194019,0.577112179136301,1.3301076699556,0.031173427883197,0.019547920954749,0.0462893903163158,0,0,0,0,0,0,0.241545709156072,0.109261149021322,0.54616322121171,0.0821591658019994,0.0447139806765127,0.132369864146643,1.03792085440875,0.798551366758516,1.35454053480174,0,0,0,0.211955090068714,0.104577623433072,0.359154258487522,0.821931290783878,0.682711224440735,1.02006510092409,0.0156614946877779,0.00801255955006607,0.024691873846354,0,0,0,-1.19956314072955,-1.4370413798778,-0.860490168483228,-0.254369672228481,-0.393828438234393,-0.113186741160921,-0.47666917721897,-0.784899728991485,-0.255945055811712,0,-0,-0,0.0321135113015111,0.0263755680271667,0.0427665733504772,0.380488804503393,0.330301963119603,0.407487084047569,0.29254581808842,0.185321216821479,0.428396117735657,0.276374290203299,0.19501951595994,0.409969976042362,0.530946743608086,0.432842479555246,0.660206843720079,-0.576347995461675,-0.61623500305644,-0.525707454317863
malabobo_river_schopka,546,792,203,40,0.0480014176342431,0.0359290827019526,0.0652776586398336,0.00965828506048301,0.00699381961370026,0.0131158302485422,0.133674703654422,0.103095678495608,0.179848766485496,0.999999884548428,0.999999837883958,0.99999992134403,0.463565902917794,0.392442265120786,0.547721301719805,0.305790963717498,0.225660307271834,0.380777483781785,0.346524277770454,0.171796902324002,0.465486570609491,0,0,0,0.934161677639603,0.610165894792228,1.25424430543087,0.0416332155754109,0.0272534159286304,0.0556019285910922,0,0,0,0,0,0,0.215199530169185,0.0955433562697999,0.427864039082778,0.0773629076427941,0.0406914370350012,0.132747465937675,1.00689311302994,0.764757476495519,1.34692508876325,0,0,0,0.177824776663881,0.0817327605772274,0.28435925991853,0.806707332437121,0.64950319231625,0.986471465571552,0.0158732891363125,0.00793772349290335,0.0245193538258571,0,0,0,-0.979544465693391,-1.15774963850328,-0.707686791513782,-0.272151556410394,-0.400763577802882,-0.134636143668287,-0.519274611485591,-0.809064326103915,-0.262322716413904,0,-0,-0,0.0396670440929092,0.0313872888094237,0.0520385841566442,0.377058213166211,0.334409576932997,0.405711650657309,0.351075940455312,0.230353558924388,0.472576552276193,0.263723238288196,0.186559693480181,0.367055238874868,0.475414553184506,0.386007995822072,0.590718594342658,-0.559610730759271,-0.599674258471813,-0.489383442904786
dumoloc_river_schopka,698,1000,294,50,0.0476404911764363,0.0359565418635606,0.0602334925829432,0.00929701423687213,0.00651834392861541,0.012218172193721,0.103751780496225,0.0806470597054279,0.140416032504624,0.99999987193664,0.999999815069721,0.999999922490038,0.494553002041204,0.421134489856,0.566250283531594,0.318159826454577,0.233789624260345,0.38277515658353,0.31488558198194,0.147880534377261,0.430915056483655,0,0,0,0.909751585692541,0.606760314193092,1.22849234449096,0.0410051995255157,0.0267161988395308,0.0550138746517726,0,0,0,0,0,0,0.245820972538171,0.103845100731125,0.495875788305361,0.0860907832668237,0.0441581975027828,0.144937132209914,0.952183996004528,0.761703783492323,1.29696779681335,0,0,0,0.162394657335534,0.0776800499220216,0.263650823899217,0.785455781183791,0.654980821623147,0.936221006468998,0.0128660445217328,0.00704741650008462,0.0198779915386107,0,0,0,-0.998534374782348,-1.18000185161674,-0.755623768290357,-0.269344677204078,-0.399256491884255,-0.112613435383213,-0.424506453279787,-0.690297782637953,-0.222805672336779,0,-0,-0,0.0367285912755276,0.0294021616051576,0.0472907931807548,0.382255299696581,0.340490536731064,0.409155046589925,0.33959142548006,0.226267473060899,0.455197038446051,0.287275021652243,0.198528969906263,0.416061726716488,0.453880137751666,0.377808886769378,0.539862944690885,-0.560084208531456,-0.602102657029567,-0.488045363052549
malabobo_river_schopka,589,837,206,29,0.0320957546917321,0.0259967468624895,0.0414878419272723,0.00639851274543816,0.00455036919169562,0.00853848842325827,0.0889935490929391,0.0689797938223578,0.119780584892792,0.999999820614608,0.999999756041367,0.99999988623371,0.477310756446632,0.40256035488767,0.566161349394213,0.307581494635456,0.238402835030108,0.379161589863746,0.357417678345713,0.194569444277607,0.476440965331479,0,0,0,0.951242615478937,0.61114956237938,1.23710971436089,0.0430388082452449,0.0284599984438932,0.0569654897233076,0,0,0,0,0,0,0.195368098298908,0.0781827036404296,0.427573824568206,0.0673563671655202,0.0375944499488894,0.135215731672516,0.985862801459706,0.783298058163552,1.30371441082539,0,0,0,0.168979637304746,0.0763734680881549,0.262089935871803,0.794376497358769,0.64816981663368,0.971562541502829,0.0156503106742226,0.00767551087952308,0.0236105342803472,0,0,0,-0.934763433199553,-1.13263333676765,-0.676049611132933,-0.267970838675812,-0.39281246696767,-0.116146151552465,-0.478346068428902,-0.751855613504208,-0.226001273973434,0,-0,-0,0.0257036616492607,0.0212871340942387,0.0357580211440233,0.383669676107856,0.340006752606306,0.414599546415033,0.36607230212627,0.236552381241756,0.474802243643739,0.252085509750339,0.171112815295328,0.35263330425938,0.478152075781947,0.379599616436842,0.578605794440318,-0.543796170570332,-0.588503477487654,-0.470538666101897
malabobo_river_schopka,581,842,191,23,0.026788961999965,0.0214754505756043,0.0360303646294675,0.00506266077055578,0.00358730216869248,0.0067800981046376,0.0765860075896377,0.0577216543991137,0.107758283619431,0.999999793476554,0.999999703584068,0.99999985096618,0.479136473032784,0.394036226901594,0.550640252717523,0.297576363642516,0.225645674357527,0.365055203842958,0.400338792853176,0.19197173496242,0.526650977239283,0,0,0,0.92943457491929,0.638985461950321,1.20560284986856,0.0415799410673574,0.0280119447785934,0.0531230780720228,0,0,0,0,0,0,0.181761605550884,0.0785774721612035,0.393822203379808,0.0690144946196716,0.0361122985589826,0.126775738255584,0.995821831809821,0.753233486361234,1.38384584786412,0,0,0,0.162911122060196,0.0856326388069933,0.272422460733951,0.807813307012161,0.687413106386744,0.974958011177188,0.0181770850553204,0.0100324661896776,0.0277101959378427,0,0,0,-0.89796815878704,-1.10300554404208,-0.662312441119098,-0.269261797767683,-0.384620524608119,-0.135077127998735,-0.536271265051022,-0.842715628330989,-0.247788683257839,0,-0,-0,0.0214221936167654,0.0170383936523552,0.0302288117550473,0.382240182570925,0.330664568962461,0.419415779773422,0.354898318099828,0.243197337206565,0.462698875918802,0.231943252234807,0.164230574260165,0.342102797903015,0.484105780062137,0.4059571665217,0.594959400178304,-0.535684073519281,-0.591832136452179,-0.464314303415567
lawis_river_schopka,44,850,51,41,0.616164135232721,0.451151192103499,0.810466538483567,0.0091795686894144,0.00645875642927026,0.0117900423222368,0.511590582704083,0.418682572672415,0.685569520812204,0.999999822635246,0.999998757120914,0.999999918538602,4.13474079203311,2.39091461872675,5.25369245763592,0.201395538719863,0.0948702779528127,0.285475554070163,0.64285218904867,0.265908240838412,1.11080318665488,0,0,0,2.13901122450659,0.181407829303714,4.78646627782789,0.00738838166365647,0.000594044789236445,0.0154194501629881,0,0,0,0,0,0,0.467027860311304,0.0966791598169845,1.86903034220914,0.0144859964076569,0.00395585527539051,0.040283197629344,0.987479655719758,0.277283864163464,2.09845098017619,0,0,0,2.35162390030148,1.13898618476832,3.56531217487774,0.875113527915854,0.808982528748202,0.970753648140158,0.0734360390407932,0.0388379990860355,0.11172914183736,0,0,0,-11.5229277816237,-13.1403277288358,-7.56918950568051,-0.132503260044214,-0.211230378713258,-0.0721688221547541,-1.57715217960006,-2.8878714944033,-0.582388278449231,0,-0,-0,0.0636924127417427,0.0512677748744496,0.0842824479949577,0.429860295678896,0.248494704780348,0.54152312733504,0.10695369254535,0.0090130283355157,0.235867527291431,0.108473078891244,0.0283892107625972,0.242371633447788,0.94171858166812,0.844362254473945,0.999962435106456,-0.769574102413014,-0.864685966219208,-0.670128317362325
lawis_river_schopka,53,1291,55,38,0.470487115620498,0.360053373278751,0.619871087589668,0.00530062177034057,0.00399360605546232,0.0072795442984264,0.442125225789106,0.332599286893499,0.597628337775595,0.999999762931859,0.999999343049118,0.99999988567374,5.11815569394073,2.98147006048932,6.57463998295328,0.198333491089545,0.102929926329345,0.276802291758603,0.968420471021585,0.432236562083213,1.74319279013448,0,0,0,2.77158114166337,0.153874945375916,6.6291031309091,0.00771717646486385,0.00041838671011707,0.0170876699329976,0,0,0,0,0,0,0.578757420283688,0.116756169883715,1.58351656903307,0.0126701613575415,0.0033530124663897,0.0351958710057175,1.10770985562163,0.356714448527143,2.61763338525109,0,0,0,2.27596230642639,1.12853902350202,3.90250907524635,0.889605402485333,0.81117131668344,0.973958270476809,0.101126710377518,0.0484453213981822,0.149915713112994,0,0,0,-13.5930330505815,-16.1673809570793,-7.98779233985167,-0.109043430051924,-0.191869110684623,-0.0639242548680439,-2.16860010833929,-3.74068626672434,-0.773929731916394,0,-0,-0,0.0405828622079823,0.03247070272688,0.0535200186378482,0.441262944655502,0.259786650096296,0.554413380081883,0.111332263750879,0.00620441170744516,0.266148681562925,0.0917706721643977,0.0267021694574586,0.196492455379666,0.953513341266612,0.863380004001967,0.999966199560512,-0.756965967926638,-0.844859994719536,-0.570804601509606
bulsa_river_ds_zam22,481.211637307251,580.04525817733,326.75404437513,57.2589061574479,0.0766661058352457,0.0591914812238395,0.107769691628627,0.018537457013716,0.0142028028924401,0.0243129490273428,0.116565029715867,0.0918479901163076,0.158368956412311,0.999999930943652,0.999999901193105,0.999999955442055,0.472506617416135,0.381799705884755,0.556938054514235,0.355496496244408,0.271624578161594,0.424587372884005,0.192285959204693,0.106281199130928,0.2868805970244,0,0,0,0.826930069174792,0.446156325866477,1.17041368967481,0.0437016579869325,0.0245086323555018,0.0622709614500438,0,0,0,0,0,0,0.389979039569367,0.147612692393361,0.780747722134493,0.158467478718394,0.087030942983257,0.256334307161162,0.937554831371563,0.803456471638773,1.10415209424254,0,0,0,0.119015750497722,0.0500545677841619,0.210817391544625,0.71877297220891,0.559628545679148,0.909941258369432,0.00594665747408121,0.00273414860643026,0.00939342249754919,0,0,0,-1.03534196806896,-1.19751758834269,-0.778571877046935,-0.350519418482161,-0.507347038155582,-0.182633724015657,-0.2718302656651,-0.436898496871146,-0.144801856629258,0,-0,-0,0.0635090516331197,0.0495179765113458,0.0831621506189206,0.363004957332091,0.323346907135974,0.395350036752748,0.305045108936588,0.163111345015038,0.432098613693966,0.429282937632736,0.320010398101564,0.614333867806428,0.345170190032443,0.269419011994356,0.453199129095239,-0.567382984775713,-0.617228737162429,-0.508611740705221
